Family,Species,Common.name,Biogeographical.affinity,Reproductive.mode,Lmax..cm.,Trophic.guild,Trophic.level,Habitat..Horizontal.,Habitat..vertical.,Source
Gobiidae,Pomatoschistus lozanoi,Lozano’s goby,Lusitanian,Demersal eggs,8,Benthivore,3.1,Inner shelf,Demersal,Whitehead et al. (1984?1986)
Gobiidae,Pomatoschistus microps,Common goby,Lusitanian,Demersal eggs,6,Benthivore,3.3,Inner shelf,Demersal,Yang (1982a)
Gobiidae,Pomatoschistus minutus,Sand goby,Lusitanian,Demersal eggs,9.5,Benthivore,3.2,Inner shelf,Demersal,Yang (1982a)
Gobiidae,Pomatoschistus norvegicus,Norwegian goby,Boreal,Demersal eggs,6.5,Benthivore,3.5,Outer shelf,Demersal,Yang (1982a)
Gobiidae,Pomatoschistus pictus,Painted goby,Lusitanian,Demersal eggs,6,Benthivore,3.1,Inner shelf,Demersal,Yang (1982a)
Gobiidae,Thorogobius ephippiatus,Leopard-spotted goby,Lusitanian,Demersal eggs,13,Benthivore,3,Inner shelf,Reef-associated,Foster-Smith (2000)
Trichiuridae,Aphanopus carbo,Black scabbardfish,Atlantic,Planktonic eggs,110,Piscivore,4.5,Slope,Benthopelagic,Yang (1982a)
Trichiuridae,Lepidopus caudatus,Scabbard fish,Atlantic,Planktonic eggs,205,Piscivore,3.8,Slope,Benthopelagic,Yang (1982a)
Scombridae,Auxis rochei,Frigate mackerel,Atlantic,Planktonic eggs,50,Piscivore,4.1,Oceanic,Epipelagic,Yang (1982a)
Scombridae,Euthynnus alletteratus,Little tunny,Atlantic,Planktonic eggs,100,Piscivore,4.5,Oceanic,Epipelagic,Yang (1982a)
Scombridae,Katsuwonus pelamis,Skipjack tuna,Atlantic,Planktonic eggs,108,Piscivore,4.3,Oceanic,Epipelagic,Yang (1982a)
Scombridae,Orcynopsis unicolor,Plain bonito,Atlantic,Planktonic eggs,130,Piscivore,4.5,Oceanic,Epipelagic,Yang (1982a)
Scombridae,Sarda sarda,Bonito,Atlantic,Planktonic eggs,90,Piscivore,4.5,Oceanic,Epipelagic,Yang (1982a)
Scombridae,Scomber scombrus,Atlantic mackerel,Atlantic,Planktonic eggs,55,Piscivore,3.7,Shelf,Pelagic,Yang (1982a)
Scombridae,Thunnus alalunga,Albacore,Atlantic,Planktonic eggs,127,Piscivore,4.3,Oceanic,Epipelagic,Yang (1982a)
Scombridae,Thunnus thynnus,Blue-fin tunny,Atlantic,Planktonic eggs,300,Piscivore,4.4,Oceanic,Epipelagic,Yang (1982a)
Xiphiidae,Xiphias gladius,Swordfish,Atlantic,Planktonic eggs,450,Piscivore,4.5,Oceanic,Epipelagic,Yang (1982a)
Luvaridae,Luvarus imperialis,Louvar,Atlantic,No data,180,Planktivore,4,Oceanic,Mesopelagic,Yang (1982a)
Centrolophidae,Centrolophus niger,Blackfish,Atlantic,Planktonic eggs,150,Piscivore,4,Oceanic,Mesopelagic,Yang (1982a)
Centrolophidae,Schedophilus medusophagus,Cornish blackfish,Atlantic,Planktonic eggs,50,Planktivore,4,Oceanic,Mesopelagic,Yang (1982a)
Stromateidae,Pampus argenteus,White pomfret,Indo-Pacific,Planktonic eggs,30,Planktivore,3.1,oceanic,Epi/mesopelagic,Davis and Wheeler (1985)
Scophthalmidae,Lepidorhombus boscii,Fourspotted megrim,Lusitanian,Planktonic eggs,40,Piscivore,3.7,Outer shelf,Demersal,Uncertain [12]
Scophthalmidae,Lepidorhombus whiffiagonis,Megrim,Lusitanian,Planktonic eggs,59,Piscivore,4.2,Outer shelf,Demersal,Yang (1982a)
Scophthalmidae,Phrynorhombus norvegicus,Norwegian topknot,Boreal,Planktonic eggs,12,Bentho-piscivore,4,Shelf,Demersal,Yang (1982a)
Scophthalmidae,Psetta maxima,Turbot,Lusitanian,Planktonic eggs,100,Piscivore,4,Shelf,Demersal,Yang (1982a)
Scophthalmidae,Scophthalmus rhombus,Brill,Lusitanian,Planktonic eggs,75,Piscivore,3.8,Shelf,Demersal,Yang (1982a)
Scophthalmidae,Zeugopterus punctatus,Topknot,Lusitanian,Planktonic eggs,25,Bentho-piscivore,4,Shelf,Demersal,Yang (1982a)
Bothidae,Arnoglossus imperialis,Imperial scald fish,Lusitanian,Planktonic eggs,25,Benthivore,3.8,Outer shelf,Demersal,Uncertain[13]
Bothidae,Arnoglossus laterna,Scald fish,Lusitanian,Planktonic eggs,20,Benthivore,3.6,Inner shelf,Demersal,Yang (1982a)
