Family,Species,Common.name,Biogeographical.affinity,Reproductive.mode,Lmax..cm.,Trophic.guild,Trophic.level,Habitat..Horizontal.,Habitat..vertical.,Source
Macrouridae,Macrourus berglax,Rough rattail,Boreal,Planktonic eggs,100,Benthivore,4.5,Slope,Bathydemersal,Yang (1982a)
Macrouridae,Malacocephalus laevis,Softhead rattail,Atlantic,Planktonic eggs,50,Benthivore,4.2,Slope,Bathydemersal,Wheeler (1978)
Carapidae,Echiodon drummondii,Pearlfish,Lusitanian,Planktonic eggs (?),30,Piscivore,4,Slope,Bathydemersal,Yang (1982a)
Lophiidae,Lophius budegassa,Black-bellied anglerfish,Lusitanian,Planktonic eggs (rafts),100,Piscivore,4.5,Outer shelf,Bathydemersal,Muus et al. (1998)
Lophiidae,Lophius piscatorius,Anglerfish,Lusitanian,Planktonic eggs (rafts),200,Piscivore,4.4,Shelf,Demersal,Yang (1982a)
Gobiesocidae,Apletodon microcephalus,Small-headed clingfish,Lusitanian,Demersal eggs,4,Benthivore,3.1,Coastal,Demersal,Foster-Smith (2000)
Gobiesocidae,Diplecogaster bimaculata,Two spotted clingfish,Lusitanian,Demersal eggs,4,Benthivore,3.3,Inner shelf,Demersal,Yang (1982a)
Gobiesocidae,Lepadogaster lepadogaster,Shore clingfish,Lusitanian,Demersal eggs,6.5,Benthivore,3.3,Coastal,Demersal,Harding and Nicols (1987) [4]
Exocoetidae,Cypselurus heterurus,Atlantic flying fish,Atlantic,Attached eggs,34,Planktivore,3.4,Oceanic,Epipelagic,Yang (1982a)
Belonidae,Belone belone,Garfish,Lusitanian,Attached eggs,90,Piscivore,4.2,Shelf,Epipelagic,Yang (1982a)
Scomberesocidae,Scomberesox saurus,Saurey pike,Atlantic,Planktonic eggs,45,Planktivore,3.6,Oceanic,Epipelagic,Yang (1982a)
Atherinidae,Atherina boyeri,Big-scale sandsmelt,Lusitanian,Attached eggs,13,Benthivore,2.3,Coastal,Pelagic,Yang (1982a)
Atherinidae,Atherina presbyter,Sand smelt,Lusitanian,Attached eggs,20,Benthivore,3.7,Coastal,Pelagic,Yang (1982a)
Lampridae,Lampris guttatus,Opah,Atlantic,Planktonic eggs,185,Piscivore,4.2,Oceanic,Epipelagic,Yang (1982a)
Trachipteridae,Trachipterus arcticus,Deal fish,Atlantic,Planktonic eggs,250,Piscivore,4.5,Oceanic,Mesopelagic,Yang (1982a)
Regalecidae,Regalecus glesne,Ribbon fish,Atlantic,Planktonic eggs,700,Planktivore,3.2,Oceanic,Mesopelagic,Yang (1982a)
Berycidae,Beryx decadactylus,Beryx,Atlantic,Planktonic eggs,40,Piscivore,4.1,Slope,Bathydemersal,Yang (1982a)
Zeidae,Zeus faber,John dory,Lusitanian,Planktonic eggs,66,Piscivore,4.5,Shelf,Benthopelagic,Yang (1982a)
Caproidae,Capros aper,Boar fish,Lusitanian,Planktonic eggs,16,Planktivore,3.1,Slope,Bathydemersal,Yang (1982a)
Gasterosteidae,Gasterosteus aculeatus,Three-spined stickleback,Boreal,Nest-forming,8,Benthivore,3.5,Coastal,Demersal,Yang (1982a)
Gasterosteidae,Spinachia spinachia,Sea stickleback,Boreal,Nest-forming,22,Benthivore,3.5,Coastal,Demersal,Yang (1982a)
Centriscidae,Macroramphosus scolopax,Snipefish,Lusitanian,Planktonic eggs,20,Planktivore,3.5,Slope,Bathydemersal,Yang (1982a)
Syngnathidae,Entelurus aequoreus,Snake pipefish,Lusitanian,Egg brooder,60,Planktivore,3.5,Oceanic/shelf,Pelagic,Yang (1982a)
Syngnathidae,Hippocampus guttulatus,Sea horse,Lusitanian,Egg brooder,16,Planktivore,3.5,Coastal,Demersal,Yang (1982a)
Syngnathidae,Hippocampus hippocampus,Short-snouted sea horse,Lusitanian,Egg brooder,16,Planktivore,3.2,Coastal,Demersal,Pinnegar et al. (2008)
Syngnathidae,Nerophis lumbriciformis,Worm pipefish,Lusitanian,Egg brooder,17,Planktivore,4,Coastal,Demersal,Yang (1982a)
Syngnathidae,Nerophis ophidion,Straight-nosed pipefish,Lusitanian,Egg brooder,30,Planktivore,4,Coastal,Demersal,Yang (1982a)
Syngnathidae,Syngnathus acus,Great pipefish,Lusitanian,Egg brooder,46,Planktivore,3.4,Coastal,Demersal,Yang (1982a)
Syngnathidae,Syngnathus rostellatus,Nilsson's pipefish,Lusitanian,Egg brooder,17,Planktivore,3.7,Coastal,Demersal,Yang (1982a)
Syngnathidae,Syngnathus typhle,Deep-snouted pipefish,Lusitanian,Egg brooder,35,Planktivore,4.3,Coastal,Demersal,Yang (1982a)
Sebastidae,Helicolenus dactylopterus,Blue-mouth redfish,Atlantic,Viviparous,44,Bentho-piscivore,3.8,Slope,Bathydemersal,Yang (1982a)
Sebastidae,Scorpaena scrofa,Red scorpion fish,Lusitanian,Planktonic eggs,50,Piscivore,4.3,Slope,Bathydemersal,Uncertain [5]
Sebastidae,Sebastes norvegicus (=S.marinus),Redfish,Boreal,Viviparous,100,Plankto-piscivore,4,Slope,Pelagic,Yang (1982a)
Sebastidae,Sebastes viviparus,Norway haddock,Boreal,Viviparous,35,Piscivore,4,Slope,Demersal,Yang (1982a)
Triglidae,Aspitrigla cuculus,Red gurnard,Lusitanian,Planktonic eggs,50,Benthivore,3.8,Shelf,Demersal,Yang (1982a)
Triglidae,Eutrigla gurnardus,Grey gurnard,Lusitanian,Planktonic eggs,50,Benthivore,3.6,Shelf,Demersal,Yang (1982a)
Triglidae,Trigla lucerna,Tub gurnard,Lusitanian,Planktonic eggs,75,Benthivore,3.7,Shelf,Demersal,Yang (1982a)
Triglidae,Trigla lyra,Piper,Lusitanian,Planktonic eggs,60,Benthivore,3.5,Outer shelf,Bathydemersal,Yang (1982a)
Triglidae,Trigloporus lastoviza,Streaked gurnard,Lusitanian,Planktonic eggs,40,Benthivore,3.4,Shelf,Demersal,Yang (1982a)
Cottidae,Artediellus atlanticus,Atlantic hook-ear sculpin,Boreal,Demersal eggs,13,Benthivore,3.4,Shelf,Demersal,Yang (1982a)
Cottidae,Icelus bicornis,Two-horn sculpin,Boreal,Demersal eggs,16,Benthivore,3.1,Shelf,Demersal,Yang (1982a)
Cottidae,Micrenophrys lilljeborgii,Norway bullhead,Boreal,Demersal eggs,7,Benthivore,3.8,Inner shelf,Demersal,Yang (1982a)
Cottidae,Myoxocephalus scorpius,Bullrout,Boreal,Demersal eggs,60,Bentho-piscivore,3.9,Inner shelf,Demersal,Yang (1982a)
Cottidae,Taurulus bubalis,Sea scorpion,Boreal,Demersal eggs,17.5,Benthivore,3.6,Inner shelf,Demersal,Yang (1982a)
Cottidae,Triglops murrayi,Sculpin,Boreal,Demersal eggs,19,Benthivore,3.5,Outer shelf,Demersal,Yang (1982a)
Agonidae,Agonus cataphractus,Pogge (armed bullhead),Boreal,Demersal eggs,21,Benthivore,3.4,Inner shelf,Demersal,Yang (1982a)
Cyclopteridae,Cyclopterus lumpus,Lumpsucker,Boreal,Demersal eggs,61,Bentho-piscivore,3.9,Shelf,Benthopelagic,Yang (1982a)
Liparidae,Liparis liparis,Sea snail,Boreal,Demersal eggs,18,Benthivore,3.6,Inner shelf,Demersal,Yang (1982a)
Liparidae,Liparis montagui,Montagu's seasnail,Boreal,Demersal eggs,10,Benthivore,3.5,Inner shelf,Demersal,Yang (1982a)
Percichthyidae,Dicentrarchus labrax,European sea bass,Lusitanian,Planktonic eggs,100,Piscivore,3.8,Shelf,Benthopelagic,Yang (1982a)
Serranidae,Polyprion americanus,Wreckfish,Lusitanian,Planktonic eggs,200,Piscivore,3.8,Shelf,Benthopelagic,Yang (1982a)
Serranidae,Serranus cabrilla,Comber,Lusitanian,Planktonic eggs,40,Piscivore,3.3,Shelf,Demersal,Yang (1982a)
Carangidae,Naucrates ductor,Pilot fish,Atlantic,Planktonic eggs,63,Scavenger,4,Oceanic,Epipelagic,Yang (1982a)
Carangidae,Trachinotus ovatus,Derbio,Lusitanian,Planktonic eggs,70,Piscivore,3.7,Shelf,Pelagic,Yang (1982a)
Carangidae,Trachurus trachurus,Horse mackerel,Lusitanian,Planktonic eggs,60,Piscivore,3.6,Shelf,Pelagic,Yang (1982a)
Echneidae,Remora remora,Sharksucker,Atlantic,Planktonic eggs,62,Planktivore[6],3.1,Oceanic,Epipelagic,Carl et al. (2004)[7]
Coryphaenidae,Coryphaena equiselis,Pompano dolphinfish,Atlantic,Planktonic eggs,75,Piscivore,4.5,Oceanic,Epipelagic,Uncertain[8]
Bramidae,Brama brama,Rays bream,Atlantic,Planktonic eggs,70,Piscivore,4.1,Oceanic,Mesopelagic,Yang (1982a)
Bramidae,Pterycombus brama,Silver pomfret,Atlantic,Planktonic eggs,40,Piscivore,4,Oceanic,Epipelagic,Yang (1982a)
Bramidae,Taractes asper,Rough pomfret,Atlantic,Planktonic eggs,50,Piscivore,4.1,Oceanic,Epipelagic,Yang (1982a)
Bramidae,Taractichthys longipinnis,Long-finned bream,Atlantic,Planktonic eggs,100,Piscivore,4.5,Oceanic,Epipelagic,Yang (1982a)
Sparidae,Boops boops,Bogue,Lusitanian,Planktonic eggs,36,Omnivore,3,Coastal,Benthopelagic,Yang (1982a)
Sparidae,Dentex dentex,Dentex,Lusitanian,Planktonic eggs,100,Piscivore,4.5,Inner shelf,Reef-associated,Yang (1982a)
Sparidae,Dentex maroccanus,Morocco dentex,Lusitanian,Planktonic eggs,41,Piscivore,3.8,Inner shelf,Demersal,Uncertain [9]
Sparidae,Pagellus acarne,Auxillary sea bream,Lusitanian,Planktonic eggs,36,Bentho-piscivore,3.5,Inner shelf,Demersal,Yang (1982a)
Sparidae,Pagellus bogaraveo,Red sea bream,Lusitanian,Planktonic eggs,70,Piscivore,3.7,Shelf,Demersal,Yang (1982a)
Sparidae,Pagellus erythrinus,Pandora,Lusitanian,Planktonic eggs,60,Bentho-piscivore,3.4,Inner shelf,Demersal,Yang (1982a)
Sparidae,Sarpa salpa,Saupe,Lusitanian,Planktonic eggs,46,Herbivore,2,Inner shelf,Benthopelagic,Yang (1982a)
Sparidae,Sparus aurata,Gilt-head sea bream,Lusitanian,Planktonic eggs,70,Bentho-piscivore,3.4,Inner shelf,Demersal,Yang (1982a)
Sparidae,Spondyliosoma cantharus,Black sea bream,Lusitanian,Nest-forming,60,Benthivore,3.3,Inner shelf,Demersal,Yang (1982a)
Sciaenidae,Argyrosomus regius,Meagre,Lusitanian,Planktonic eggs,140,Piscivore,4.3,Shelf,Benthopelagic,Yang (1982a)
Mullidae,Mullus barbatus,Red mullet,Lusitanian,Planktonic eggs,30,Benthivore,3.2,Inner shelf,Demersal,Uncertain [10]
Mullidae,Mullus surmuletus,Striped red mullet,Lusitanian,Planktonic eggs,40,Benthivore,3.4,Inner shelf,Demersal,Yang (1982a)
Cepolidae,Cepola rubescens,Red bandfish,Lusitanian,Planktonic eggs (?),70,Benthivore,3.1,Shelf,Demersal,Yang (1982a)
Mugilidae,Chelon labrosus,Thick lipped mullet,Lusitanian,Planktonic eggs,60,Detritivore,2.4,Coastal,Pelagic,Yang (1982a)
Mugilidae,Liza aurata,Golden mullet,Lusitanian,Planktonic eggs,50,Detritivore,2.5,Coastal,Pelagic,Yang (1982a)
